"Genename",Med(Ess(WT)) – Med(Ess(MT))
"NRGN",0.038970838149381
"KCNAB1",0.039157515866579
"YTHDC2",0.040109734720752
"NCS1",0.040847760565576
"HIST2H2AA3",0.04108716211649
"LHCGR",0.042194558983849
"FBXO6",0.042671393351429
"RRAS2",0.043027426020086
"MCC",0.043085492688349
"LMX1A",0.043539052298592
"IRX2",0.043610975404036
"PLXDC2",0.0445425221823
"GRPEL2",0.045293494375134
"HECTD2",0.04543452638649
"ZNF408",0.04551792584966
"C1orf115",0.045523834578681
"BOK",0.045951601171146
"HTR6",0.04636028145768
"ZNF575",0.046384209222419
"HLA-DOA",0.047697537682642
"B3GALT6",0.049178379269114
"TMEM236",0.050916700822917
"F2RL3",0.051160196988589
"BARX2",0.051207155740941
"CRP",0.051297717211345
"NPHS2",0.051436023212
"LCP2",0.05159574264996
"FAM104A",0.051649826537758
"CNTNAP5",0.052350902429993
"STC1",0.052773218528141
"GUCA2B",0.052871125446865
"CD58",0.053628168338412
"RSF1",0.053877694948179
"LAMP1",0.054509659404216
"PTPRN2",0.055151923869908
"TSHZ2",0.055543531141718
"HDAC1",0.055602106065965
"TEX261",0.055696876908029
"PRPF38A",0.056044181371839
"PHC2",0.056170578576907
"RPS10",0.056862578561908
"EREG",0.056910436085575
"COX8A",0.057049585123377
"PDXP",0.057199229491961
"AP2A1",0.057665440670581
"ASB18",0.057852779302238
"HSBP1L1",0.057895383512728
"FAM71F1",0.05807312784578
"GRB14",0.05891963427612
"NKD2",0.059507563249876
"TNR",0.059962828467817
"EN1",0.061792740169432
"TUSC1",0.061902455391556
"ATP6V1C2",0.061988871903991
"LRRTM1",0.062409194273964
"AKT1",0.064454531211334
"CALHM1",0.064458145113784
"RBP1",0.065210345002359
"CLPP",0.065380093447907
"PCSK7",0.067265263607383
"CDKN2D",0.06817564938438
"TRAF3IP1",0.068869674433321
"ACBD6",0.069029802381712
"CBX6",0.070338597700805
"BARX1",0.070442844900913
"HEBP2",0.070917526539552
"EIF2B2",0.071591027341626
"PIK3C2B",0.071981677924883
"MPP4",0.072208915446906
"TSPAN1",0.072593829477798
"PRM2",0.072988831067159
"TYW3",0.073184384704155
"TMEM14C",0.073343422136558
"SMOC2",0.07379781803944
"STC2",0.074473524804003
"CYSTM1",0.076482619210743
"ABCG1",0.077234108527974
"PHOX2B",0.078021733625855
"RNF135",0.078049353366728
"TP63",0.079353579544977
"NANOGNB",0.080176907736803
"CBLN2",0.081509447513546
"LY9",0.083040011964421
"OXTR",0.083649658087304
"DKK3",0.084410035737838
"GBX2",0.085699578012887
"DBX2",0.08589775262049
"MARC2",0.086757664392308
"ANKRD53",0.087299626560288
"OR4K17",0.087391456922532
