Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
NSRP1,1,-0.301938129,0.419658,-1.139061005,0.837122875
SART3,1,-0.280544127,1,-0.854142919,0.573598792
ZFC3H1,1,0.065051154,1,-0.559212563,0.624263717
CWF19L2,1,-0.028372008,1,-1.078057521,1.049685512
CCAR1,1,0.020844682,1,-0.682481942,0.703326624
ANAPC13,1,-0.227145769,0.297862,-1.15073548,0.923589711
FANCF,1,-0.004195052,1,-0.520006293,0.515811241
NPAT,1,-0.333473819,1,-1.017840892,0.684367073
SPATS2,1,0.073753478,1,-0.448952202,0.52270568
BCLAF1,1,0.353694836,1,-0.751336461,1.105031297
RPL31,1,-0.225009335,1,-0.798639833,0.573630498
GEMIN6,1,0.444514568,1,-0.622921392,1.06743596
TOPBP1,0.404795,-0.33788078,1,-0.88217057,0.54428979
TTC1,1,-0.186334129,1,-0.721409788,0.535075659
POT1,1,0.021858444,0.361372,-1.192993269,1.214851713
GPN1,1,-0.162393007,1,-0.945114499,0.782721492
RNF4,1,0.285708629,1,-0.693480995,0.979189624
ZCCHC7,1,-0.152651277,1,-0.78641954,0.633768263
LIN54,1,-0.273590016,1,-0.788723439,0.515133423
EXOC5,1,-0.047908187,1,-0.726135967,0.67822778
BNIP1,1,-0.186266486,1,-0.765491249,0.579224763
AMPH,1,0.112255763,0.967028,-0.552189377,0.66444514
SREK1,1,-0.167196476,1,-0.755959998,0.588763523
FAM178A,1,-0.281781037,1,-0.909959546,0.628178509
NPHP1,1,-0.007480811,1,-0.545572394,0.538091582
NEDD1,1,0.164212111,0.944884,-1.144739839,1.30895195
NUFIP2,1,0.0455618,1,-0.508701945,0.554263745
LARP7,1,-0.014773266,1,-0.598755374,0.583982108
GRSF1,1,0.081350791,1,-0.551423109,0.6327739
MYO1H,1,0.073331188,1,-0.496343627,0.569674815
PCNA,0.000413,-3.507928876,0.000236,-2.669604479,-0.838324397
RPL36,0.002339,-2.310143708,0.000236,-2.418969306,0.108825599
RPL37,0.000413,-3.269295783,0.000236,-2.719157051,-0.550138731
RPS19,0.028921,-2.411739441,0.000236,-2.51779507,0.106055629
TBCC,0.001192,-3.00888866,0.000236,-1.844476398,-1.164412261
TRMT112,0.001192,-3.805606629,0.000236,-2.663154571,-1.142452058
TXNL4A,0.001192,-3.868171478,0.000236,-2.902057949,-0.966113529
CENPM,0.078124,-2.084456826,0.000424,-2.427908672,0.343451846
RNGTT,0.04055,-4.612121344,0.000424,-3.774163783,-0.837957562
YARS2,0.008014,-2.160022708,0.003387,-1.460906538,-0.69911617
XRCC3,0.054323,-2.128827011,0.009356,-1.433833621,-0.69499339
ALG2,0.001192,-2.738592267,0.011243,-2.104809929,-0.633782338
PLK1,0.001192,-3.274589487,0.011251,-2.193939087,-1.0806504
TP53RK,0.27799,-2.125525524,0.014075,-1.35228345,-0.773242074
AARS2,0.576305,-1.948213075,0.122583,-1.485381639,-0.462831436
DDX49,0.000413,-3.226614529,0.000236,-2.136706861,-1.089907667
HSD17B10,0.077466,-1.891279972,0.000236,-1.888537869,-0.002742103
RPL8,0.002081,-2.627274332,0.006232,-1.697089135,-0.930185196
CLNS1A,0.001817,-2.926348098,0.011526,-2.009475128,-0.91687297
ATP5D,0.453218,-2.039269927,0.01229,-1.292012075,-0.747257852
EXOSC3,0.516963,-1.720754223,0.194475,-0.983541904,-0.737212319
RPN1,0.058091,-2.307748332,0.017072,-1.395178983,-0.912569349
CCND1,0.620914,-1.850078573,0.011599,-1.488088614,-0.361989959
SUPV3L1,0.007198,-2.294806313,0.00389,-1.734356176,-0.560450137
RPS8,0.008309,-2.190635344,0.000236,-2.599174214,0.40853887
RPL23A,0.003724,-3.740298087,0.000424,-3.018851598,-0.721446489
TUBB,0.000413,-3.203098356,0.000424,-2.148444735,-1.054653621
PRMT5,0.001817,-2.915171408,0.000688,-1.832978832,-1.082192576
SEC13,0.001192,-2.657096339,0.004693,-1.559614156,-1.097482183
RUVBL2,0.00099,-3.070466372,0.011251,-1.71696972,-1.353496651
TUBG1,0.002581,-2.363898338,0.011599,-1.756302688,-0.607595651
UBR4,0.002169,-2.837010719,0.012237,-2.025530977,-0.811479742
PRIM1,0.152123,-2.542498156,0.099667,-1.985366313,-0.557131843
FXN,1,-2.036935227,0.221944,-1.520212606,-0.516722621
ADSS,1,-1.272327048,0.417334,-1.153121978,-0.11920507
MARS2,0.005328,-2.059722374,0.000424,-1.834861586,-0.224860788
DNM2,0.001192,-2.80019289,0.002951,-1.823481103,-0.976711787
ESPL1,0.000413,-3.029384503,0.005252,-1.828682881,-1.200701623
RPL13A,0.001192,-2.905029938,0.01441,-1.391591646,-1.513438292
TYMS,0.003058,-2.259748369,0.033255,-1.500552049,-0.75919632
ATP2A2,0.000413,-3.395337677,0.000236,-2.169152734,-1.226184943
ABCB7,0.004003,-2.548533954,0.001172,-1.878378687,-0.670155267
RPL15,0.009675,-2.807986707,0.002951,-1.74555296,-1.062433746
FARSA,0.001192,-2.781012872,0.030164,-1.5071889,-1.273823972
DDX23,0.000413,-3.426325077,0.000236,-2.371668974,-1.054656103
POLR2L,0.002081,-1.895193542,0.002844,-1.433557298,-0.461636243
PSMB7,0.001303,-3.160758839,0.003271,-2.099259131,-1.061499708
MYC,0.390869,-2.233503649,0.003593,-1.424117856,-0.809385793
WBSCR22,0.001192,-2.593384831,0.00791,-1.83113844,-0.762246391
PFAS,0.476368,-1.645588385,0.077514,-1.044184585,-0.6014038
TUBE1,0.166215,-2.344150067,0.139095,-1.709581783,-0.634568285
GRWD1,0.009279,-1.845990914,0.35699,-1.28075361,-0.565237304
RPL13,0.346557,-1.594452676,0.048198,-1.841349683,0.246897008
EIF3C,0.008458,-2.312901772,0.099392,-1.214575454,-1.098326318
PSMD6,0.482745,-1.998640844,0.188047,-1.313182537,-0.685458308
NKAP,1,-1.655515008,0.011251,-1.764705054,0.109190046
PSMA7,0.021538,-2.463139627,0.021282,-1.684320835,-0.778818792
VARS,0.001817,-2.800907364,0.077819,-1.703197164,-1.0977102
NUDC,1,-0.787995151,0.615112,-1.234073059,0.446077908
RPL23,0.000413,-4.27253269,0.000236,-3.285823865,-0.986708825
GADD45GIP1,1,-0.982931612,0.009356,-1.45213611,0.469204498
AIFM1,0.077466,-1.964318466,0.121047,-1.395988297,-0.568330168
GNB2L1,0.00799,-1.616972102,0.121047,-1.021081429,-0.595890673
VPS13D,0.328547,-2.07605271,0.003825,-1.52001246,-0.556040251
RPL18,0.044354,-2.215889361,0.00639,-1.930784164,-0.285105196
SARS2,0.00799,-1.612762579,0.011526,-1.272158125,-0.340604454
DOLK,0.001192,-2.67838028,0.004625,-1.612351293,-1.066028987
DDX56,0.00828,-2.505806775,0.011251,-1.594778362,-0.911028413
EIF6,0.032697,-2.28931705,0.016734,-1.706116413,-0.583200638
RPS15,0.26725,-1.620665475,0.054875,-1.528209943,-0.092455532
KAT8,0.956889,-1.770543429,0.353612,-1.36775727,-0.402786159
CDC45,0.001817,-2.548508271,0.000236,-2.709775582,0.161267311
DHDDS,0.001192,-2.541115864,0.000236,-1.645032329,-0.896083535
TFRC,0.001192,-2.861306211,0.000236,-1.499210525,-1.362095686
CDIPT,0.002081,-2.761113204,0.000424,-2.191225673,-0.569887531
RPL10,0.001817,-3.201485295,0.000424,-1.822610291,-1.378875004
PMF1,0.484682,-1.619383754,0.008038,-1.821633556,0.202249802
DBR1,0.036194,-2.55460532,0.008302,-1.760141849,-0.79446347
ZBTB11,0.008503,-2.256048995,0.011646,-1.689557748,-0.566491247
BANF1,0.049592,-0.869209841,0.030164,-1.260456198,0.391246357
FNTB,0.078124,-2.291943247,0.094015,-1.288641176,-1.003302072
MARS,0.001192,-2.547066481,0.114798,-1.469061551,-1.078004931
EEF2,0.008299,-2.478184076,0.117906,-1.30041881,-1.177765266
SF3B3,0.065502,-2.456025051,0.121047,-1.684470245,-0.771554806
UQCRC1,0.311157,-1.830606255,0.220155,-1.252571736,-0.578034519
NDUFC2,1,-1.336691605,0.299717,-1.241300363,-0.095391242
EIF3G,0.001192,-2.66412234,0.377248,-1.51966541,-1.14445693
XRCC6,0.005431,-2.300131157,0.380211,-1.441517848,-0.858613309
VPS28,0.00799,-2.572203736,0.420805,-1.251051914,-1.321151821
GUK1,0.093048,-2.321202122,0.454481,-1.361105583,-0.960096539
PRPF6,0.004709,-2.53316301,0.012871,-1.376806028,-1.156356982
SLC7A6OS,1,-1.092495112,0.415462,-1.591741564,0.499246452
NDOR1,0.026571,-1.936896139,0.205994,-1.055924664,-0.880971474
NIP7,0.442745,-1.410813595,0.011251,-1.899323494,0.488509899
DHX37,0.106134,-1.911465859,0.36803,-1.021752791,-0.889713067
